Lichtblick Liste,RoWo Liste,Firmenname,Erneuerbare Energien 2,Link Stromkennzeichnung,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,True,123energie - Eine Marke der Pfalzwerke AG,5.80%,https://www.123energie.de/service/462.php,,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,A,,,X,,,,,OKPower,,
True,True,17er Oberlandenergie GmbH,0.00%,https://17er.com/die-17er/service/stromkennzeichnung/,nicht vorhanden,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,D,,,,,,,,,,
True,True,24/7 Energie und Kommunikation GmbH,0.00%,https://www.elissa.de/produkte-elissa/elissa-strom.html,nicht aktuell,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,A,x,Stadtwerke,,,,,,,x,
True,,4hundred GmbH,100.00%,https://www.4hundred.com/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,,Abens-Donau Energie GmbH,0.21%,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,,,,,,,,,,,,
True,True,Abita Energie Otterberg GmbH,0.00%,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,A,,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html),,,,,,,,
True,True,AggerEnergie GmbH,1.68%,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,A,,,,,,,,,,
True,True,Ahrtal-Werke GmbH,0.00%,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,A,x,?,,,,,,,x,
True,True,Albstadtwerke GmbH,6.34%,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,A,,,,,,,,,,
True,True,Albwerk GmbH & Co. KG,29.46%,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,A,,,,,,,,,,
True,True,Allgäuer Kraftwerke GmbH,10.83%,https://www.allgaeukraft.de/stromkennzeichnung.html,,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,A,,,,,,,,,,
True,True,Allgäuer Überlandwerk GmbH,16.51%,https://www.auew.de/privatkunden/kontakt-service/gesetzgebung/stromkennzeichnung/,,Illerstraße 18,87435,Kempten,https://www.auew.de,A,,,,,,,,,,
True,True,Ammer-Loisach Energie GmbH,0.21%,https://www.ammer-loisach-energie.de/unser-strom/strom-fuer-privatkunden/,,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,A,,,,,,,,,,
True,True,Aschaffenburger Versorgungs-GmbH,7.64%,http://www.stwab.de/Energie-Wasser/Strom/Stromkennzeichnung/,,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,A,,,,,,,,,,
